Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,Party,Percent,Party_Gr,Party_En,Acronym
Prorata,,2019-06-28,2019-07-01,National,1000,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Metron Analysis,Alpha TV,2019-06-27,2019-07-01,National,1207,Provided,Not Available,0.1%,PE,0.017,Πλεύση Ελευθερίας,PE,ΠΕ
RASS,in.gr,2019-06-24,2019-06-27,National,1002,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Pulse RC,ΣΚΑΪ,2019-06-24,2019-06-26,National,1504,Provided,Not Available,0.1%,PE,0.011000000000000001,Πλεύση Ελευθερίας,PE,ΠΕ
MRB,Τα Νέα,2019-06-24,2019-06-26,National,1014,Provided,Not Available,0.1%,PE,0.013000000000000001,Πλεύση Ελευθερίας,PE,ΠΕ
Interview,Politik,2019-06-24,2019-06-26,National,1005,Provided,Not Available,0.1%,PE,0.011000000000000001,Πλεύση Ελευθερίας,PE,ΠΕ
Marc,ANT1,2019-06-19,2019-06-23,National,1214,Provided,Not Available,0.1%,PE,0.017,Πλεύση Ελευθερίας,PE,ΠΕ
Interview,Βεργίνα TV,2019-06-18,2019-06-20,National,1000,Provided,Not Available,0.1%,PE,0.018000000000000002,Πλεύση Ελευθερίας,PE,ΠΕ
Prorata,Newpost,2019-06-18,2019-06-20,National,1000,Provided,Not Available,0.1%,PE,0.011000000000000001,Πλεύση Ελευθερίας,PE,ΠΕ
Pulse RC,ΣΚΑΪ,2019-06-18,2019-06-19,National,1221,Provided,Not Available,0.1%,PE,0.023,Πλεύση Ελευθερίας,PE,ΠΕ
Metron Analysis,Το Βήμα,2019-06-14,2019-06-19,National,1001,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Alco,,2019-06-13,2019-06-19,National,1000,Provided,Not Available,0.1%,PE,0.018000000000000002,Πλεύση Ελευθερίας,PE,ΠΕ
Marc,,2019-06-10,2019-06-13,National,1115,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Pulse RC,ΣΚΑΪ,2019-06-10,2019-06-12,National,1356,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
MRB,Star,2019-06-10,2019-06-12,National,1003,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Metron Analysis,Alpha TV,2019-06-03,2019-06-05,National,1201,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Pulse RC,ΣΚΑΪ,2019-05-30,2019-06-01,National,1358,Provided,Not Available,0.1%,PE,0.016,Πλεύση Ελευθερίας,PE,ΠΕ
Vox Pop Analysis,Documento,2019-05-06,2019-05-08,National,1286,Provided,Not Available,0.1%,PE,0.01,Πλεύση Ελευθερίας,PE,ΠΕ
MRB,Star,2019-05-06,2019-05-08,National,1139,Provided,88.7%,1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Metron Analysis,Alpha TV,2019-04-15,2019-04-17,National,1200,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Interview,Βεργίνα TV,2019-04-15,2019-04-17,National,1005,Provided,Not Available,0.1%,PE,0.017,Πλεύση Ελευθερίας,PE,ΠΕ
MRB,Star,2019-04-01,2019-04-03,National,1003,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Marc,Πρώτο ΘΕΜΑ,2019-03-26,2019-04-01,National,1200,Provided,Not Available,0.1%,PE,0.011000000000000001,Πλεύση Ελευθερίας,PE,ΠΕ
RASS,in.gr,2019-03-26,2019-03-28,National,1005,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Pulse RC,ΣΚΑΪ,2019-03-23,2019-03-27,National,1452,Provided,Not Available,1%,PE,0.02,Πλεύση Ελευθερίας,PE,ΠΕ
Metron Analysis,Το Βήμα,2019-03-18,2019-03-20,National,1204,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Vox Pop Analysis,Documento,2019-03-18,2019-03-20,National,1000,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Pulse RC,ΣΚΑΪ,2019-02-24,2019-02-26,National,1323,Provided,Not Available,0.5%,PE,0.01,Πλεύση Ελευθερίας,PE,ΠΕ
Alco,Open,2019-02-18,2019-02-23,National,1000,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Public Issue,,2019-02-01,2019-02-14,National,1002,Provided,Not Available,0.5%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Interview,Βεργίνα TV,2019-02-04,2019-02-05,National,1000,Provided,Not Available,0.1%,PE,0.015,Πλεύση Ελευθερίας,PE,ΠΕ
Prorata,Η Εφημερίδα των Συντακτών,2019-02-01,2019-02-04,National,1000,Provided,Not Available,0.5%,PE,0.01,Πλεύση Ελευθερίας,PE,ΠΕ
Vox Pop Analysis,Documento,2019-02-01,2019-02-02,National,1205,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Metron Analysis,Το Βήμα,2019-01-28,2019-01-29,National,7536,Provided,Not Available,0.1%,PE,0.013000000000000001,Πλεύση Ελευθερίας,PE,ΠΕ
RASS,in.gr,2019-01-21,2019-01-24,National,1004,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Pulse RC,ΣΚΑΪ,2019-01-20,2019-01-22,National,1356,Provided,Not Available,0.5%,PE,0.01,Πλεύση Ελευθερίας,PE,ΠΕ
Marc,Πρώτο ΘΕΜΑ,2019-01-14,2019-01-17,National,1002,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Opinion Poll,,2019-01-10,2019-01-16,National,1000,Provided,Not Available,0.1%,PE,0.02,Πλεύση Ελευθερίας,PE,ΠΕ
Pulse RC,ΣΚΑΪ,2018-12-16,2018-12-18,National,1354,Provided,Not Available,0.5%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Alco,Open,2018-12-05,2018-12-10,National,1000,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Κάπα Research,thebest.gr,2018-12-04,2018-12-06,National,1004,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
MRB,real.gr,2018-11-28,2018-12-06,National,2000,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Palmos Analysis,TVXS,2018-11-20,2018-11-23,National,1025,Provided,Not Available,0.5%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Metron Analysis,Τα Νέα,2018-11-19,2018-11-21,National,1205,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Pulse RC,ΣΚΑΪ,2018-11-18,2018-11-20,National,1356,Provided,Not Available,0.5%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Public Issue,,2018-11-06,2018-11-16,National,1000,Provided,Not Available,0.5%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Marc,Πρώτο ΘΕΜΑ,2018-10-22,2018-10-24,National,1002,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Pulse RC,ΣΚΑΪ,2018-10-14,2018-10-16,National,1355,Provided,Not Available,0.5%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Palmos Analysis,TVXS,2018-09-18,2018-09-21,National,1016,Provided,Not Available,0.5%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Metron Analysis,Τα Νέα,2018-09-18,2018-09-20,National,1000,Provided,Not Available,0.1%,PE,0.016,Πλεύση Ελευθερίας,PE,ΠΕ
MRB,Star,2018-09-17,2018-09-19,National,1004,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Alco,Kontra Channel,2018-09-17,2018-09-19,National,1000,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Κάπα Research,ΕΘΝΟΣ,2018-09-17,2018-09-18,National,1005,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Pulse RC,ΣΚΑΪ,2018-09-16,2018-09-18,National,1354,Provided,Not Available,0.5%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Marc,Πρώτο ΘΕΜΑ,2018-09-08,2018-09-08,National,1000,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
MRB,Real,2018-06-22,2018-06-29,National,2000,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Metron Analysis,Τα Νέα,2018-06-26,2018-06-28,National,1000,Provided,Not Available,0.1%,PE,0.016,Πλεύση Ελευθερίας,PE,ΠΕ
Alco,Kontra Channel,2018-06-23,2018-06-27,National,1000,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Pulse RC,ΣΚΑΪ,2018-06-24,2018-06-26,National,1323,Provided,Not Available,0.1%,PE,0.01,Πλεύση Ελευθερίας,PE,ΠΕ
Marc,Πρώτο ΘΕΜΑ,2018-06-13,2018-06-15,National,1000,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
RASS,Action 24,2018-05-29,2018-05-31,National,1002,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Alco,Kontra Channel,2018-05-16,2018-05-20,National,1000,Provided,80.4%,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Pulse RC,ΣΚΑΪ,2018-05-13,2018-05-15,National,1341,Provided,Not Available,0.5%,PE,0.01,Πλεύση Ελευθερίας,PE,ΠΕ
Public Issue,,2018-04-23,2018-05-07,National,1003,Provided,Not Available,0.5%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Pulse RC,ΣΚΑΪ,2018-04-15,2018-04-17,National,1356,Provided,Not Available,0.5%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Alco,Ραδιόφωνο 24/7,2018-04-11,2018-04-16,National,1000,Provided,Not Available,0.1%,PE,0.019,Πλεύση Ελευθερίας,PE,ΠΕ
Palmos Analysis,TVXS,2018-04-12,2018-04-15,National,1009,Provided,Not Available,0.5%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Κάπα Research,ΕΘΝΟΣ,2018-04-03,2018-04-03,National,8000,Provided,Not Available,0.1%,PE,0.018000000000000002,Πλεύση Ελευθερίας,PE,ΠΕ
Pulse RC,ΣΚΑΪ,2018-03-11,2018-03-13,National,1304,Provided,Not Available,0.5%,PE,0.01,Πλεύση Ελευθερίας,PE,ΠΕ
RASS,Πρώτο Θέμα,2018-03-06,2018-03-08,National,1002,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Alco,ΕΘΝΟΣ,2018-02-22,2018-02-24,National,1000,Provided,Not Available,0.1%,PE,0.013000000000000001,Πλεύση Ελευθερίας,PE,ΠΕ
Metron Analysis,Το Βήμα,2018-02-12,2018-02-23,National,2300,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Pulse RC,Action 24,2018-01-25,2018-01-29,National,1518,Provided,Not Available,0.5%,PE,0.01,Πλεύση Ελευθερίας,PE,ΠΕ
Alco,Ραδιόφωνο 24/7,2018-01-16,2018-01-18,National,1000,Provided,Not Available,0.1%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Public Issue,,2018-01-08,2018-01-18,National,1010,Provided,Not Available,0.5%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Pulse RC,bankingnews.gr,2018-01-08,2018-01-10,National,1207,Provided,Not Available,0.5%,PE,,Πλεύση Ελευθερίας,PE,ΠΕ
Opinion Poll,Action 24,2023-11-13,2023-11-15,National,1011,Provided,80.7%,0.1%,EL,0.063,Ελληνική Λύση,EL,ΕΛ
Alco,Alpha TV,2023-10-30,2023-11-03,National,1000,Provided,Not Available,0.1%,EL,0.059000000000000004,Ελληνική Λύση,EL,ΕΛ
MRB,Open TV,2023-10-30,2023-11-01,National,1000,Provided,Not Available,0.1%,EL,0.077,Ελληνική Λύση,EL,ΕΛ
Pulse RC,ΣΚΑΪ,2023-10-26,2023-10-30,National,1163,Provided,Not Available,0.1%,EL,0.052000000000000005,Ελληνική Λύση,EL,ΕΛ
GPO,Star TV,2023-10-23,2023-10-24,National,1100,Provided,Not Available,0.1%,EL,0.061,Ελληνική Λύση,EL,ΕΛ
Metron Analysis,Mega TV,2023-10-18,2023-10-24,National,1300,Provided,Not Available,0.1%,EL,0.07,Ελληνική Λύση,EL,ΕΛ
Prorata,Attica TV,2023-09-27,2023-10-02,National,1000,Provided,Not Available,0.1%,EL,0.067,Ελληνική Λύση,EL,ΕΛ
MRB,Open TV,2023-09-25,2023-09-28,National,1058,Provided,Not Available,0.1%,EL,0.073,Ελληνική Λύση,EL,ΕΛ
Alco,Alpha TV,2023-09-25,2023-09-28,National,1000,Provided,Not Available,0.1%,EL,0.057,Ελληνική Λύση,EL,ΕΛ
Pulse RC,ΣΚΑΪ,2023-09-25,2023-09-27,National,1306,Provided,Not Available,0.1%,EL,0.057999999999999996,Ελληνική Λύση,EL,ΕΛ
GPO,Απογευματινή,2023-09-25,2023-09-27,National,1142,Provided,Not Available,0.1%,EL,0.051,Ελληνική Λύση,EL,ΕΛ
Opinion Poll,Action 24,2023-09-21,2023-09-26,National,1219,Provided,Not Available,0.1%,EL,0.059000000000000004,Ελληνική Λύση,EL,ΕΛ
Metron Analysis,Mega TV,2023-09-21,2023-09-26,National,1005,Provided,Not Available,0.1%,EL,0.075,Ελληνική Λύση,EL,ΕΛ
Metron Analysis,,2023-06-21,2023-06-23,National,1219,Provided,Not Available,0.1%,EL,0.027999999999999997,Ελληνική Λύση,EL,ΕΛ
Marc,ΑΝΤ1,2023-06-20,2023-06-22,National,1506,Provided,Not Available,0.1%,EL,0.04,Ελληνική Λύση,EL,ΕΛ
Pulse RC,ΣΚΑΪ,2023-06-20,2023-06-22,National,1021,Provided,Not Available,0.1%,EL,0.038,Ελληνική Λύση,EL,ΕΛ
MRB,Open TV,2023-06-20,2023-06-22,National,1000,Provided,Not Available,0.1%,EL,0.038,Ελληνική Λύση,EL,ΕΛ
Palmos Analysis,Tvxs.gr,2023-06-19,2023-06-22,National,1023,Provided,Not Available,0.1%,EL,0.034,Ελληνική Λύση,EL,ΕΛ
Rass,iefimerida,2023-06-19,2023-06-22,National,1005,Provided,Not Available,0.1%,EL,0.038,Ελληνική Λύση,EL,ΕΛ
Alco,Alpha TV,2023-06-16,2023-06-21,National,1403,Provided,Not Available,0.1%,EL,0.037000000000000005,Ελληνική Λύση,EL,ΕΛ
Metron Analysis,Mega TV,2023-06-15,2023-06-21,National,1302,Provided,Not Available,0.1%,EL,0.031,Ελληνική Λύση,EL,ΕΛ
Pulse RC,ΣΚΑΪ,2023-06-18,2023-06-20,National,1016,Provided,Not Available,0.1%,EL,0.038,Ελληνική Λύση,EL,ΕΛ
Interview,Politic.gr,2023-06-16,2023-06-19,National,2005,Provided,Not Available,0.1%,EL,0.046,Ελληνική Λύση,EL,ΕΛ
MRB,Newsbomb,2023-06-15,2023-06-19,National,1000,Provided,Not Available,0.1%,EL,0.04,Ελληνική Λύση,EL,ΕΛ
Marc,Πρώτο ΘΕΜΑ,2023-06-12,2023-06-15,National,1853,Provided,Not Available,0.1%,EL,0.035,Ελληνική Λύση,EL,ΕΛ
Metron Analysis,Το Βήμα,2023-06-09,2023-06-15,National,1201,Provided,Not Available,0.1%,EL,0.047,Ελληνική Λύση,EL,ΕΛ
Opinion Poll,The TOC,2023-06-12,2023-06-14,National,1001,Provided,Not Available,0.1%,EL,0.040999999999999995,Ελληνική Λύση,EL,ΕΛ
GPO,Παραπολιτικά,2023-06-12,2023-06-14,National,1000,Provided,Not Available,0.1%,EL,0.037000000000000005,Ελληνική Λύση,EL,ΕΛ
Pulse RC,ΣΚΑΪ,2023-06-08,2023-06-12,National,1308,Provided,Not Available,0.1%,EL,0.039,Ελληνική Λύση,EL,ΕΛ
Marc,ΑΝΤ1,2023-06-07,2023-06-11,National,1501,Provided,Not Available,0.1%,EL,0.04,Ελληνική Λύση,EL,ΕΛ
Metron Analysis,Mega TV,2023-06-07,2023-06-10,National,1200,Provided,Not Available,0.1%,EL,0.051,Ελληνική Λύση,EL,ΕΛ
Alco,Alpha TV,2023-06-06,2023-06-10,National,1200,Provided,Not Available,0.1%,EL,0.036000000000000004,Ελληνική Λύση,EL,ΕΛ
GPO,Τα Νέα,2023-06-06,2023-06-08,National,1000,Provided,Not Available,0.1%,EL,0.032,Ελληνική Λύση,EL,ΕΛ
MRB,Open TV,2023-06-06,2023-06-07,National,1000,Provided,Not Available,0.1%,EL,0.044000000000000004,Ελληνική Λύση,EL,ΕΛ
GPO,Παραπολιτικά,2023-05-30,2023-05-31,National,1000,Provided,Not Available,0.1%,EL,0.038,Ελληνική Λύση,EL,ΕΛ
Marc,Πρώτο ΘΕΜΑ,2023-05-23,2023-05-31,National,3008,Provided,Not Available,0.1%,EL,0.042,Ελληνική Λύση,EL,ΕΛ
Metron Analysis,Mega TV,2023-05-25,2023-05-30,National,1202,Provided,Not Available,0.1%,EL,0.044000000000000004,Ελληνική Λύση,EL,ΕΛ
Κάπα Research,,2022-05-22,2023-05-23,National,1002,Provided,Not Available,0.1%,EL,0.046,Ελληνική Λύση,EL,ΕΛ
MRB,Open TV,2023-05-16,2023-05-19,National,1100,Provided,Not Available,0.1%,EL,0.037000000000000005,Ελληνική Λύση,EL,ΕΛ
Pulse RC,ΣΚΑΪ,2023-05-14,2023-05-19,National,1425,Provided,Not Available,0.1%,EL,0.04,Ελληνική Λύση,EL,ΕΛ
Marc,ΑΝΤ1,2023-05-16,2023-05-18,National,1266,Provided,Not Available,0.1%,EL,0.038,Ελληνική Λύση,EL,ΕΛ
Rass,iefimerida,2023-05-15,2023-05-18,National,1221,Provided,Not Available,0.1%,EL,0.034,Ελληνική Λύση,EL,ΕΛ
GPO,Παραπολιτικά,2023-05-15,2023-05-17,National,1200,Provided,Not Available,0.1%,EL,0.039,Ελληνική Λύση,EL,ΕΛ
Palmos Analysis,Tvxs.gr,2023-05-13,2023-05-17,National,1306,Provided,Not Available,0.1%,EL,0.037000000000000005,Ελληνική Λύση,EL,ΕΛ
Interview,Politic.gr,2023-05-12,2023-05-17,National,2405,Provided,Not Available,0.1%,EL,0.039,Ελληνική Λύση,EL,ΕΛ
Metron Analysis,Mega TV,2023-05-12,2023-05-17,National,1500,Provided,Not Available,0.1%,EL,0.046,Ελληνική Λύση,EL,ΕΛ
Rass,Action 24,2023-06-13,2023-05-16,National,1110,Provided,Not Available,0.1%,EL,0.040999999999999995,Ελληνική Λύση,EL,ΕΛ
Alco,Alpha TV,2023-05-11,2023-05-16,National,1200,Provided,Not Available,0.1%,EL,0.042,Ελληνική Λύση,EL,ΕΛ
Prorata,Η Εφημερίδα των Συντακτών,2023-05-28,2023-05-11,National,1000,Provided,Not Available,0.1%,EL,0.033,Ελληνική Λύση,EL,ΕΛ
GPO,Παραπολιτικά,2023-05-10,2023-05-11,National,1120,Provided,Not Available,0.1%,EL,0.037000000000000005,Ελληνική Λύση,EL,ΕΛ
Marc,Πρώτο ΘΕΜΑ,2023-05-09,2023-05-11,National,1212,Provided,Not Available,0.1%,EL,0.038,Ελληνική Λύση,EL,ΕΛ
Metron Analysis,Mega TV,2023-05-04,2023-05-11,National,2105,Provided,Not Available,0.1%,EL,0.033,Ελληνική Λύση,EL,ΕΛ
Marc,ΑΝΤ1,2023-05-05,2023-05-09,National,1286,Provided,Not Available,0.1%,EL,0.038,Ελληνική Λύση,EL,ΕΛ
Κάπα Research,,2022-05-05,2023-05-09,National,1202,Provided,Not Available,0.1%,EL,0.044000000000000004,Ελληνική Λύση,EL,ΕΛ
Pulse RC,ΣΚΑΪ,2023-05-04,2023-05-07,National,1064,Provided,Not Available,0.1%,EL,0.035,Ελληνική Λύση,EL,ΕΛ
Alco,Alpha TV,2023-05-03,2023-05-06,National,1000,Provided,Not Available,0.1%,EL,0.043,Ελληνική Λύση,EL,ΕΛ
Metron Analysis,Mega TV,2023-04-25,2023-05-05,National,1305,Provided,Not Available,0.1%,EL,0.031,Ελληνική Λύση,EL,ΕΛ
GPO,Τα Νέα,2023-05-02,2023-05-03,National,1000,Provided,Not Available,0.1%,EL,0.035,Ελληνική Λύση,EL,ΕΛ
Interview,Politic.gr,2023-04-27,2023-04-30,National,1705,Provided,Not Available,0.1%,EL,0.042,Ελληνική Λύση,EL,ΕΛ
Prorata,Attica TV,2023-04-27,2023-04-30,National,1147,Provided,Not Available,0.1%,EL,0.034,Ελληνική Λύση,EL,ΕΛ
MRB,Open TV,2023-04-24,2023-04-26,National,1000,Provided,Not Available,0.1%,EL,0.034,Ελληνική Λύση,EL,ΕΛ
Pulse RC,ΣΚΑΪ,2023-04-19,2023-04-23,National,1051,Provided,Not Available,0.1%,EL,0.040999999999999995,Ελληνική Λύση,EL,ΕΛ
Alco,Alpha TV,2023-04-18,2023-04-22,National,1000,Provided,Not Available,0.1%,EL,0.044000000000000004,Ελληνική Λύση,EL,ΕΛ
Opinion Poll,The TOC,2023-04-18,2023-04-21,National,1003,Provided,Not Available,0.1%,EL,0.048,Ελληνική Λύση,EL,ΕΛ
Metron Analysis,Το Βήμα,2023-04-19,2023-04-20,National,1007,Provided,Not Available,0.1%,EL,0.049,Ελληνική Λύση,EL,ΕΛ
GPO,Παραπολιτικά,2023-04-03,2023-04-05,National,1000,Provided,Not Available,0.1%,EL,0.040999999999999995,Ελληνική Λύση,EL,ΕΛ
Pulse RC,ΣΚΑΪ,2023-03-30,2023-04-03,National,1107,Provided,Not Available,0.1%,EL,0.042,Ελληνική Λύση,EL,ΕΛ
Interview,Politic.gr,2023-03-28,2023-04-01,National,1415,Provided,Not Available,0.1%,EL,0.045,Ελληνική Λύση,EL,ΕΛ
Rass,Action 24,2023-03-27,2023-03-31,National,1001,Provided,Not Available,0.1%,EL,0.055999999999999994,Ελληνική Λύση,EL,ΕΛ
Marc,Πρώτο ΘΕΜΑ,2023-03-27,2023-03-30,National,1213,Provided,Not Available,0.1%,EL,0.044000000000000004,Ελληνική Λύση,EL,ΕΛ
Palmos Analysis,Tvxs.gr,2023-03-27,2023-03-30,National,1083,Provided,Not Available,0.1%,EL,0.048,Ελληνική Λύση,EL,ΕΛ
Prorata,Η Εφημερίδα των Συντακτών,2023-03-24,2023-03-28,National,1085,Provided,Not Available,0.1%,EL,0.042,Ελληνική Λύση,EL,ΕΛ
MRB,Newsbomb,2023-03-24,2023-03-28,National,1000,Provided,Not Available,0.1%,EL,0.055,Ελληνική Λύση,EL,ΕΛ
Metron Analysis,Mega TV,2023-03-22,2023-03-28,National,1306,Provided,Not Available,0.1%,EL,0.052000000000000005,Ελληνική Λύση,EL,ΕΛ
Rass,iefimerida,2023-03-24,2023-03-27,National,1030,Provided,Not Available,0.1%,EL,0.040999999999999995,Ελληνική Λύση,EL,ΕΛ
GPO,Star TV,2023-03-18,2023-03-21,National,1200,Provided,Not Available,0.1%,EL,0.04,Ελληνική Λύση,EL,ΕΛ
Alco,Alpha TV,2023-03-13,2023-03-17,National,1001,Provided,Not Available,0.1%,EL,0.044000000000000004,Ελληνική Λύση,EL,ΕΛ
Pulse RC,ΣΚΑΪ,2023-03-13,2023-03-15,National,1121,Provided,Not Available,0.1%,EL,0.042,Ελληνική Λύση,EL,ΕΛ
Metron Analysis,Mega TV,2023-03-07,2023-03-13,National,1201,Provided,Not Available,0.1%,EL,0.051,Ελληνική Λύση,EL,ΕΛ
MRB,Open TV,2023-03-06,2023-03-13,National,1450,Provided,Not Available,0.1%,EL,0.054000000000000006,Ελληνική Λύση,EL,ΕΛ
Prorata,Attica TV,2023-03-08,2023-03-11,National,1102,Provided,Not Available,0.1%,EL,0.040999999999999995,Ελληνική Λύση,EL,ΕΛ
Interview,Politic.gr,2023-03-06,2023-03-09,National,1305,Provided,Not Available,0.1%,EL,0.051,Ελληνική Λύση,EL,ΕΛ
GPO,Παραπολιτικά,2023-03-06,2023-03-08,National,1000,Provided,Not Available,0.1%,EL,0.036000000000000004,Ελληνική Λύση,EL,ΕΛ
Marc,ANT1,2023-03-04,2023-03-07,National,1241,Provided,Not Available,0.1%,EL,0.046,Ελληνική Λύση,EL,ΕΛ
Interview,Politic.gr,2023-02-16,2023-02-20,National,1505,Provided,Not Available,0.1%,EL,0.049,Ελληνική Λύση,EL,ΕΛ
Opinion Poll,The TOC,2023-02-14,2023-02-17,National,1004,Provided,Not Available,0.1%,EL,0.046,Ελληνική Λύση,EL,ΕΛ
Alco,Alpha TV,2023-02-13,2023-02-17,National,1001,Provided,Not Available,0.1%,EL,0.042,Ελληνική Λύση,EL,ΕΛ
GPO,Παραπολιτικά,2023-02-07,2023-02-09,National,1000,Provided,Not Available,0.1%,EL,0.034,Ελληνική Λύση,EL,ΕΛ
Marc,Πρώτο ΘΕΜΑ,2023-02-03,2023-02-08,National,1009,Provided,Not Available,0.1%,EL,0.040999999999999995,Ελληνική Λύση,EL,ΕΛ
Marc,ANT1,2023-01-24,2023-01-31,National,1585,Provided,Not Available,0.1%,EL,0.045,Ελληνική Λύση,EL,ΕΛ
MRB,Open TV,2023-01-23,2023-01-24,National,1000,Provided,Not Available,0.1%,EL,0.052000000000000005,Ελληνική Λύση,EL,ΕΛ
GPO,Star TV,2023-01-20,2023-01-24,National,1200,Provided,Not Available,0.1%,EL,0.039,Ελληνική Λύση,EL,ΕΛ
Pulse RC,ΣΚΑΪ,2023-01-19,2023-01-23,National,1205,Provided,Not Available,0.1%,EL,0.040999999999999995,Ελληνική Λύση,EL,ΕΛ
Prorata,Attica TV,2023-01-19,2023-01-23,National,1018,Provided,Not Available,0.1%,EL,0.040999999999999995,Ελληνική Λύση,EL,ΕΛ
Rass,Action 24,2023-01-16,2023-01-20,National,1003,Provided,Not Available,0.1%,EL,0.037000000000000005,Ελληνική Λύση,EL,ΕΛ
Metron Analysis,Mega TV,2023-01-11,2023-01-17,National,1309,Provided,Not Available,0.1%,EL,0.044000000000000004,Ελληνική Λύση,EL,ΕΛ
Interview,Politic.gr,2023-01-12,2023-01-16,National,1675,Provided,Not Available,0.1%,EL,0.05,Ελληνική Λύση,EL,ΕΛ
Opinion Poll,The TOC,2023-01-11,2023-01-13,National,1005,Provided,Not Available,0.1%,EL,0.047,Ελληνική Λύση,EL,ΕΛ
Alco,Alpha TV,2023-01-09,2023-01-13,National,1002,Provided,Not Available,0.1%,EL,0.051,Ελληνική Λύση,EL,ΕΛ
Marc,Πρώτο ΘΕΜΑ,2022-12-16,2022-12-21,National,1003,Provided,Not Available,0.1%,EL,0.046,Ελληνική Λύση,EL,ΕΛ
Pulse RC,ΣΚΑΪ,2022-12-18,2022-12-19,National,1103,Provided,Not Available,0.1%,EL,0.04,Ελληνική Λύση,EL,ΕΛ
Interview,Politic.gr,2022-12-15,2022-12-19,National,1655,Provided,Not Available,0.1%,EL,0.053,Ελληνική Λύση,EL,ΕΛ
GPO,Powergame.gr,2022-12-13,2022-12-15,National,1000,Provided,Not Available,0.1%,EL,0.045,Ελληνική Λύση,EL,ΕΛ
MRB,,2022-12-01,2022-12-09,National,2000,Provided,Not Available,0.1%,EL,0.053,Ελληνική Λύση,EL,ΕΛ
Opinion Poll,Lykavitos,2022-11-29,2022-12-02,National,1251,Provided,Not Available,0.1%,EL,0.046,Ελληνική Λύση,EL,ΕΛ
